name,season,league,team,games,goals,assists,points,regular_season,source_id,source_url
James Hagens,2023-24,USHL,U.S. National Development Team,26,18,29,47,true,James Hagens,https://en.wikipedia.org/wiki/James_Hagens
Logan Hensler,2023-24,USHL,U.S. National Development Team,27,3,13,16,true,Logan Hensler,https://en.wikipedia.org/wiki/Logan_Hensler
Logan Hensler,2022-23,USHL,U.S. National Development Team,38,5,15,20,true,Logan Hensler,https://en.wikipedia.org/wiki/Logan_Hensler
Logan Hensler,2022-23,USHL,U.S. National Development Team,3,0,1,1,false,Logan Hensler,https://en.wikipedia.org/wiki/Logan_Hensler
Sascha Boumedienne,2023-24,USHL,Youngstown Phantoms,49,3,24,27,true,Sascha Boumedienne,https://en.wikipedia.org/wiki/Sascha_Boumedienne
Sascha Boumedienne,2023-24,USHL,Youngstown Phantoms,2,0,0,0,false,Sascha Boumedienne,https://en.wikipedia.org/wiki/Sascha_Boumedienne
Cullen Potter,2023-24,USHL,U.S. National Development Team,35,9,13,22,true,Cullen Potter,https://en.wikipedia.org/wiki/Cullen_Potter
William Moore,2023-24,USHL,U.S. National Development Team,35,14,11,25,true,William Moore,https://en.wikipedia.org/wiki/William_Moore_(ice_hockey)
William Moore,2024-25,USHL,U.S. National Development Team,25,10,11,21,true,William Moore,https://en.wikipedia.org/wiki/William_Moore_(ice_hockey)
Jack Murtagh,2023-24,USHL,U.S. National Development Team,34,9,10,19,true,10242,https://ushl.com/ht/#/player/10242/82/Jack%20Murtagh
Carter Amico,2023-24,USHL,U.S. National Development Team,22,1,4,5,true,10258,https://ushl.com/ht/#/player/10258/82/Carter%20Amico
Conrad Fondrk,2023-24,USHL,U.S. National Development Team,35,13,10,23,true,10239,https://ushl.com/ht/#/player/10239/82/Conrad%20Fondrk
Ben Kevan,2023-24,USHL,Des Moines Buccaneers,59,24,33,57,true,10065,https://ushl.com/ht/#/player/10065/82/Ben%20Kevan
Ben Kevan,2023-24,USHL,Des Moines Buccaneers,2,0,0,0,false,10065,https://ushl.com/ht/#/player/10065/83/Ben%20Kevan
Charlie Trethewey,2023-24,USHL,U.S. National Development Team,33,4,10,14,true,10259,https://ushl.com/ht/#/player/10259/82/Charlie%20Trethewey
Mace'o Phillips,2023-24,USHL,U.S. National Development Team,33,0,4,4,true,10256,https://ushl.com/ht/#/player/10256/82/Maceo%20Phillips
Teddy Mutryn,2023-24,USHL,Chicago Steel,3,1,0,1,true,10270,https://ushl.com/ht/#/player/10270/82/Teddy%20Mutryn
